TIMESTAMP,PH,LUMINOUS INTENSITY,HUMIDITY,TEMPERATURE,SOIL MOISTURE,WATER LEVEL
26:04.8,10.56,0,65.6,27.6,684,246
36:06.9,10.56,0,66.1,27.7,684,247
42:31.4,9.97,212,72.7,27.1,681,211
52:33.4,10.48,225,67.2,29.6,684,217
02:35.4,10.67,227,62.5,31.3,683,221
12:37.4,10.89,227,59.6,32.6,685,229
22:39.3,11.33,223,60.9,31.8,685,227
32:41.3,11.33,228,58.6,33,682,223
42:43.3,11.22,228,56.8,33.5,685,219
52:45.2,10.89,223,54.5,34.6,685,216
02:47.1,10.85,227,57.6,33,684,214
12:49.0,10.67,219,56.3,33.7,683,210
22:50.8,10.48,219,61,31.4,686,208
32:52.7,10.33,219,63.5,30.5,684,206
42:54.5,10.19,219,63.4,30.5,686,208
52:56.4,10.33,219,63,30.9,685,207
02:58.2,10.19,217,63.3,30.3,684,207
12:59.9,10.26,211,66.1,29.3,684,208
23:01.7,10.26,210,66,29.3,684,206
33:03.4,10.11,209,66.9,29.1,685,207
43:05.2,10.19,207,68.2,29,684,209
53:06.9,10.33,207,67.1,29,682,207
03:08.7,10.22,209,68.4,29.1,684,208
13:10.4,10.26,210,66.9,29.1,684,210
23:12.2,10.33,211,67.5,29,682,208
33:14.0,10.33,213,66.5,29.3,684,210
43:15.8,10.33,213,66.1,29.3,683,209
53:17.6,10.33,213,66.6,29.5,684,209
03:19.4,10.33,216,66.1,29.4,684,211
13:21.1,10.48,213,65.7,29.6,684,208
23:22.9,10.33,209,65.3,29.6,685,209
33:24.6,10.33,208,65.2,29.5,684,209
43:26.4,10.33,206,64.5,29.6,684,211
53:28.1,10.45,209,63.1,29.5,685,210
03:29.8,10.48,209,62.6,29.4,683,210
13:31.6,10.37,207,63,29.5,682,210
23:33.3,10.37,206,63.5,29.6,682,208
33:35.0,10.3,205,63.3,29.5,684,210
43:36.7,10.33,205,63.4,29.6,685,210
53:38.4,10.33,205,61.3,29.5,684,209
03:40.1,10.3,206,63.1,29.4,684,210
13:41.7,10.33,204,62.4,29.5,685,211
23:43.4,10.41,204,61.8,29.5,684,211
33:45.1,10.33,203,62.1,29.4,685,211
43:46.8,10.45,203,61.5,29.1,684,210
53:48.5,10.3,203,63.8,29.1,685,209
03:50.1,10.19,204,62.8,29.4,685,211
13:51.8,10.33,202,65.1,29.1,684,212
23:53.5,10.33,202,64.1,28.8,684,212
33:55.1,10.33,200,64.4,29,684,212
43:56.8,10.33,200,65.1,28.9,682,211
53:58.4,10.33,199,63.5,29.1,685,212
04:00.1,10.59,199,65,28.8,683,212
14:01.7,10.33,199,64.5,28.8,685,211
24:03.3,10.26,196,63.5,28.8,682,212
34:04.9,10.33,195,64.4,28.7,684,212
44:09.9,10.33,195,65.5,28.7,685,213
54:11.4,10.33,192,66.6,28.6,684,212
04:12.9,10.33,189,66.4,28.7,684,213
14:14.4,10.33,189,65,28.6,684,214
24:15.9,10.33,183,65.4,28.5,682,213
34:17.2,10.33,178,66.2,28.5,682,213
44:18.5,10.33,169,66.9,28.4,685,216
54:19.6,10.37,159,67.4,28.1,683,214
04:20.7,10.33,139,67.7,28.2,685,214
14:22.2,10.33,110,69.2,28,684,216
24:23.2,10.33,44,68.6,28.1,685,215
34:25.2,10.26,0,68.5,28,685,217
44:27.3,10.33,0,68.6,28,684,218
54:29.3,10.33,0,69.1,28,685,218
39:43.3,9.41,39,76.8,26.1,684,213
49:44.3,10.67,123,75.4,26.1,684,219
59:45.6,10.93,160,75.6,26.2,681,228
09:47.0,11.48,177,76.2,26.3,684,234
19:48.6,11.85,193,75.7,26.4,684,233
29:50.4,11.77,199,75.1,26.5,684,226
39:52.2,11.33,208,74.3,26.6,684,222
49:54.0,11.22,218,72.6,27.6,683,221
59:55.9,11.22,222,69.7,28.6,684,219
09:57.6,11.07,221,69.7,28.8,682,217
19:59.5,10.96,214,70.5,28.5,682,215
30:01.4,10.89,218,67.8,29.3,684,215
40:03.3,10.89,225,64.5,30.6,682,212
50:05.1,10.74,220,65.2,30.6,684,212
00:07.0,10.67,216,65.1,30.2,683,212
10:08.9,10.74,219,64.3,30.6,685,211
20:10.7,10.59,220,62.9,30.5,684,210
30:12.6,11.04,219,63.9,29.6,685,210
40:14.4,10.59,218,64.6,29.7,684,209
50:16.3,10.52,219,63.4,29.4,684,208
00:18.1,10.56,219,63.8,29.3,684,209
10:20.0,10.59,216,62.9,29.8,682,209
20:21.8,10.63,219,62.6,29.8,683,209
30:23.7,10.63,218,62.8,29.6,682,209
40:25.5,10.67,218,62.4,29.8,682,209
50:27.4,10.63,217,62.9,29.7,684,209
00:29.2,10.59,217,61.5,29.4,684,208
10:31.0,10.59,217,62.9,29.4,682,208
20:32.8,10.59,210,63,29.6,681,209
30:34.6,10.63,215,62.6,29.7,684,210
40:36.4,10.59,212,62,29.6,683,210
50:38.2,10.67,214,62.5,29.5,684,211
00:40.0,10.59,213,62,29.4,682,209
10:41.8,10.59,212,59.6,29.3,684,211
20:43.5,10.67,213,63.6,29.5,684,210
30:45.3,10.59,211,64,29.3,682,211
40:47.1,10.63,207,63.3,29.4,684,211
50:48.8,10.59,207,64.5,29,683,212
00:50.6,10.63,207,65.2,29.2,684,213
10:52.3,10.7,208,64.5,29.1,682,212
20:54.0,10.63,209,63.5,29.3,682,213
30:55.8,10.7,207,64.5,29.5,682,214
40:57.5,10.63,207,63.2,29.1,685,215
50:59.2,10.67,207,64.4,29,683,214
01:00.9,10.63,206,64.8,29,682,216
11:02.6,10.67,199,64.3,29,683,217
21:04.3,10.67,205,62.9,28.9,684,218
31:06.0,10.67,204,62.2,29.1,683,219
41:07.7,10.67,204,64,29,684,219
51:09.3,10.67,202,63.5,29,684,219
01:11.0,10.63,203,63,29,682,220
11:12.7,10.67,202,64.4,29,684,222
21:14.3,10.89,201,63.5,28.9,682,221
31:16.0,10.63,200,65.1,28.8,682,222
41:17.6,10.63,199,63.2,28.8,682,223
51:19.3,10.67,199,63.7,28.7,684,223
01:20.9,10.59,198,64.5,28.8,684,224
11:22.5,10.63,199,63.9,28.6,684,224
21:24.1,10.59,197,65.2,28.4,685,225
31:25.7,10.63,196,64.6,28.3,685,225
41:27.3,10.74,195,64.7,28.3,684,226
51:28.8,10.67,193,63.8,28.2,684,227
01:30.4,10.63,190,64.4,28.3,684,227
11:31.9,10.67,190,65.2,28.1,685,227
21:33.4,10.63,185,65.4,28.1,682,227
31:34.8,10.63,181,64.8,28.1,685,229
41:36.1,10.67,177,64.2,28,684,228
51:37.3,10.89,164,65.4,27.8,682,228
01:38.4,10.59,146,65.4,27.9,684,227
11:40.2,10.59,123,66,27.8,684,228
21:41.5,10.59,80,66.4,27.8,684,229
31:43.6,10.59,3,65.3,27.7,684,229
41:45.7,10.59,0,66.1,27.6,685,229
51:47.7,10.59,0,66.2,27.6,682,227
47:17.6,9.3,68,75.7,26.5,684,211
57:18.6,10.89,132,75.3,26.5,684,217
07:19.7,11.22,142,76,26.4,684,222
17:20.9,11.52,155,76.2,26.5,683,226
27:22.3,11.74,178,75.4,26.6,684,227
37:23.6,11.77,177,74.9,26.6,682,224
47:25.1,11.66,182,75,26.8,684,223
57:26.6,11.66,181,74,26.8,682,221
07:28.2,11.52,184,72.4,26.8,684,220
17:29.9,11.29,219,71,27.5,684,218
27:31.8,11.37,222,70.4,27.5,682,217
37:33.5,11.41,215,65.2,29.3,684,217
47:35.4,11.33,206,69.6,28,682,215
57:37.2,11.26,214,65.2,29.7,684,215
07:39.0,11.22,216,66.3,29.2,683,214
17:40.8,11.18,216,66.8,28.9,682,213
27:42.6,11.11,214,68.9,27.9,684,214
37:44.5,11.07,218,67.7,28.5,683,213
29:48.4,9.71,0,68.9,25.7,684,198
39:49.9,9.86,39,69.1,25.7,683,210
49:51.0,10.74,111,68.9,25.7,682,212
59:52.2,10.85,140,69,25.7,684,215
09:53.7,10.96,184,68.6,25.8,684,216
19:55.3,11.15,195,68.6,26,684,216
29:57.0,11.22,201,68.8,26.1,684,217
39:58.8,11.33,207,68,26.3,684,217
50:00.7,11.37,223,65.2,27.5,684,216
00:02.6,11.52,222,61.6,29.5,685,216
10:04.5,11.55,223,58,31.1,682,214
20:06.5,11.22,222,56.3,32.1,685,214
30:08.4,11.07,222,54.4,32.7,683,212
40:10.4,11.07,226,52.2,33.8,683,212
50:12.3,10.96,226,50.3,34.5,683,211
00:14.2,10.89,225,50.6,33.5,685,210
10:16.0,10.89,210,51.7,33,682,210
20:17.8,10.89,218,56.5,30.2,683,209
30:19.7,11.07,218,57,29.5,685,209
40:21.5,10.96,218,58.4,29.3,685,209
50:23.3,11.04,218,58.2,29.5,685,209
00:25.2,10.89,217,57.8,29.4,685,209
10:27.0,11.07,218,57.3,29.8,685,210
20:28.8,11.11,217,56.6,29.2,684,209
30:30.7,11.07,217,57.5,29,684,210
40:32.5,11.04,217,58.2,28.8,682,210
50:34.3,10.96,213,58.5,29,683,210
00:36.1,10.85,216,57.9,29.1,684,211
10:38.0,10.85,215,57.6,29.5,684,210
20:39.8,10.85,214,56.2,29.1,684,211
30:41.6,10.89,214,57.4,29.5,684,211
40:43.3,10.93,214,57.8,29.1,684,212
50:45.1,10.96,212,57.6,29.1,682,210
00:46.9,10.96,210,58,28.8,684,211
10:48.7,10.96,210,57.8,28.9,683,211
20:50.4,10.89,210,57.8,29,684,212
30:52.2,10.93,210,57.3,29,683,211
40:53.9,10.89,209,58.6,28.9,685,212
50:55.6,10.89,207,57,28.6,684,213
00:56.7,10.89,206,58.4,28.7,682,212
10:57.8,10.89,206,58.7,28.9,682,212
20:58.8,10.89,206,59.8,28.8,685,214
31:00.3,11.37,204,59.5,28.7,685,214
41:02.0,10.85,204,59.2,28.6,682,214
51:03.7,10.89,203,59.3,28.7,684,214
01:05.3,10.85,199,59.8,28.5,682,215
11:07.0,10.89,203,59.2,28.4,682,215
21:08.7,10.78,203,60.6,28.5,684,217
31:10.4,10.85,201,59.4,28,682,217
41:12.0,10.85,202,59.4,28.4,684,218
51:13.7,10.74,201,60.4,28.3,685,220
01:15.3,10.81,201,60.9,28,682,219
11:17.0,10.74,200,58.9,28,684,221
21:18.6,10.85,200,60.7,28.1,683,221
31:20.2,10.74,199,60.4,28,684,222
41:21.8,10.74,197,61,28,682,222
51:23.4,10.74,195,61.5,28,684,223
01:25.1,10.74,196,61.8,27.8,684,225
11:26.6,10.74,196,60,27.9,684,225
21:28.2,10.74,193,61.1,27.7,684,227
31:29.7,10.74,192,62.6,27.7,684,228
41:31.3,10.67,189,63,27.6,682,228
51:32.8,10.74,188,62.8,27.5,684,228
01:34.2,10.67,186,63.2,27.5,683,229
11:35.7,10.67,183,63,27.4,684,229
21:37.2,10.67,182,64.5,27.4,684,229
31:38.6,10.67,180,64.3,27.3,684,229
41:39.9,10.63,171,64.9,27.1,683,229
51:41.0,10.63,162,64.8,27.1,684,229
01:42.1,10.67,146,64.9,27.2,682,229
11:43.9,10.67,122,64.7,27.1,682,229
21:45.2,10.63,75,64.8,27,682,229
31:47.3,10.67,6,65.3,26.9,684,229
57:46.6,9.38,157,74.1,25.4,681,187
07:47.7,9.3,174,73.8,25.5,683,202
17:49.0,10.19,177,74.3,25.6,683,207
27:50.6,10.56,194,74.7,25.7,682,208
37:52.3,10.67,200,74.3,25.8,683,209
47:54.0,10.85,205,74.2,26.1,682,209
57:55.9,10.89,219,70.7,27.3,683,211
07:57.7,11.07,220,67.6,28.6,684,212
17:59.6,11.26,222,64,29.9,683,211
28:01.5,11.33,223,60.7,31.1,684,213
38:03.4,11.22,221,59.1,32.1,684,212
48:05.3,10.85,222,57.8,32.1,682,211
58:07.1,10.89,219,56.3,33,685,211
08:09.0,10.85,216,56.4,32.7,681,210
18:10.8,10.81,217,58.2,31.2,683,211
28:12.6,10.85,217,58.1,30.2,684,209
38:14.5,10.59,218,59.1,29.3,683,207
48:16.3,10.56,218,58.5,29.4,683,206
58:18.1,10.45,218,58.3,29.5,685,208
08:20.0,10.56,217,58.5,29.7,685,207
18:21.8,10.48,217,57.6,29.4,684,208
28:23.6,10.59,217,60,30,682,207
38:25.5,10.48,216,58.4,29.6,683,205
48:27.3,10.3,216,58.4,29.4,683,208
58:29.1,10.37,216,59.2,29.3,685,206
08:30.9,10.26,214,58.8,28.8,682,209
18:32.7,10.26,214,60.1,28.7,682,207
28:34.5,10.3,213,60,28.7,683,208
38:36.3,10.33,212,61,29,684,208
48:38.0,10.33,212,60.5,29.3,682,208
58:39.8,10.33,210,60.6,29.1,685,208
08:41.6,10.19,210,61.2,28.9,684,210
18:43.3,10.37,209,60.6,29,683,209
28:45.0,10.26,208,61.4,28.6,684,209
38:46.8,10.15,207,61.5,28.7,684,211
48:48.5,10.33,206,61.3,28.9,684,210
58:50.2,10.19,206,62.3,28.7,684,212
08:51.9,10.3,205,61.6,28.8,684,213
18:53.6,10.33,205,62.8,28.9,684,212
28:55.3,10.26,204,62.3,28.7,683,215
38:57.0,10.33,204,63.2,28.6,684,214
48:58.6,10.26,203,61.7,28.6,682,215
59:00.3,10.3,202,62.8,28.6,682,215
09:02.0,10.19,201,61,28.6,685,218
19:03.6,10.37,201,61.9,28.6,684,217
29:05.3,10.3,201,61.4,28.5,682,218
39:06.9,10.3,201,61.5,28.3,682,218
49:08.6,10.19,200,62.1,28.2,685,221
59:10.2,10.33,199,61.2,28.3,685,220
09:11.9,10.19,199,63.5,28.1,684,221
19:13.5,10.33,198,62.7,28.4,684,221
29:15.1,10.26,198,62.4,28.2,681,222
39:16.7,10.37,196,63.5,28.4,684,221
49:18.3,10.22,195,63.8,28,683,222
59:19.9,10.26,194,63.8,28.1,684,222
09:21.5,10.26,194,63,28.1,684,222
19:23.0,10.26,194,62.7,28,684,222
29:24.6,10.26,191,63.2,27.9,682,222
39:26.1,10.26,191,63.2,27.8,684,223
49:27.7,10.3,184,63.7,27.7,682,222
59:29.1,10.19,187,64.2,27.7,684,220
09:30.6,10.08,183,64,27.8,684,222
19:32.0,10.19,181,64.9,27.6,684,222
29:33.3,10.15,175,65.1,27.6,685,223
39:34.6,10.19,167,65.4,27.5,684,222
49:35.7,10.11,156,64.9,27.5,682,223
59:36.7,10.19,140,65,27.3,685,222
09:38.4,10.15,116,65.4,27.3,682,223
19:39.5,10.19,72,65.8,27.4,684,224
00:28.3,10.74,213,70.4,27.4,680,173
10:29.7,10.15,214,70.3,27.5,684,186
20:32.4,9.38,219,69.6,27.8,683,202
30:34.2,10.33,220,65.1,29.5,684,210
40:36.2,10.96,219,60.3,31.6,682,212
50:38.1,11.15,224,56.8,32.7,681,212
00:39.9,11.33,222,56.4,33.4,684,214
10:41.7,11.48,217,55.5,33.5,683,214
20:43.5,11.33,209,60.4,30.7,684,213
30:45.2,11.18,204,64,29.7,684,211
40:47.0,11.07,211,64.8,28.8,681,208
50:48.8,10.89,214,63.8,28.6,682,207
00:50.6,10.59,216,62.6,29,684,205
10:52.5,10.48,217,61.6,28.9,684,208
20:54.3,10.67,217,60.3,29,683,207
30:56.1,10.63,214,61.6,29,684,205
40:57.9,10.48,217,59,29,682,205
50:59.7,10.45,216,60.9,29.1,684,206
01:01.6,10.48,216,61.7,28.8,683,205
11:03.4,10.45,215,61.2,29.1,683,208
21:05.2,10.33,215,60.2,29.3,685,204
31:07.0,10.04,213,59.1,29,682,209
41:08.8,10.48,213,59.1,29.3,684,205
51:10.4,10.15,213,58.4,29.3,683,194
01:12.0,9.49,212,58.4,29.2,684,209
11:13.8,10.37,211,59.4,29.1,682,203
21:15.5,10,210,60.8,28.9,684,205
31:17.3,10.11,209,60.3,28.6,683,208
41:19.0,10.33,209,60.8,28.8,684,205
51:20.6,10.08,208,60.5,28.7,684,207
01:22.3,10.15,203,61,28.7,681,208
11:23.9,10.19,207,59.8,28.9,683,205
21:25.5,10.48,202,60.2,28.7,684,209
31:27.0,9.97,205,60.1,28.6,684,210
41:28.3,9.89,204,59.1,28.5,684,212
51:29.9,9.89,204,60.4,28.2,682,212
01:31.4,10,203,60.8,28.5,684,214
11:33.0,9.78,203,62.7,28.2,684,216
21:34.6,10.15,202,62.6,28.5,684,215
31:36.0,10,195,62,28.6,682,221
41:37.5,9.97,200,61.4,28.5,684,224
51:38.9,10.04,199,62.4,28.6,682,224
01:40.3,9.93,199,62.3,28.4,684,225
11:41.8,9.93,198,61.6,28.3,685,230
21:43.2,10.08,197,61.3,28.1,684,231
31:44.6,10.11,197,62.9,28.2,684,230
41:46.1,10.19,196,63.5,28.4,684,229
51:47.6,10.04,195,63.1,28.3,682,227
01:49.2,10,195,63.2,28.2,684,229
11:50.7,10.11,193,63.2,28.3,684,227
21:52.0,10.04,194,63.4,28.1,683,226
31:53.2,9.89,191,64.4,28.1,684,229
41:54.8,10,192,64.3,28,683,228
51:56.1,9.97,188,64.6,27.9,684,228
01:57.4,10,187,65.2,27.8,683,225
11:58.6,9.89,184,65.2,27.7,683,227
21:59.8,10.08,182,65.5,27.7,684,228
32:01.1,10.15,176,65.8,27.6,682,227
42:02.2,10.15,169,66.1,27.6,687,230
52:04.3,9.71,158,66.8,27.4,682,224
02:06.1,10.04,138,67.1,27.4,682,224
12:07.6,10.04,106,67.3,27.3,682,223
22:09.6,9.89,58,67.7,27.3,684,223
51:31.9,10.93,115,73.3,26.2,682,187
01:34.0,9.45,152,72.2,26.2,683,200
11:35.4,10.11,170,71.3,26.3,684,208
21:36.8,10.56,169,71.6,26.4,682,211
31:38.5,10.7,199,71.7,26.6,685,212
41:40.2,10.67,206,70.8,26.6,684,213
51:42.1,10.78,222,68.6,27.6,684,216
01:44.0,10.96,223,64.1,29.5,684,217
11:45.9,11.04,218,61.6,30.7,682,217
21:47.8,11.07,224,61,31,683,217
31:49.7,10.93,225,62.9,30.1,682,215
41:51.6,10.93,223,58.7,32,682,213
51:53.3,10.59,212,60,31,684,176
01:54.8,8.23,208,62,30.4,684,205
11:56.6,10.08,218,62,30.6,685,216
21:58.4,10.59,215,65.2,29.5,685,216
32:00.3,10.59,217,64.7,29,685,213
42:02.1,10.37,218,65.4,28.9,685,208
52:03.9,10.04,217,65.4,29,684,215
02:05.8,10.37,218,65.3,29.2,684,221
12:07.6,10.59,218,65.6,29.5,682,216
22:09.4,10.37,212,64.2,29.3,684,219
32:11.2,10.48,216,65.2,29.4,684,222
42:13.0,10.48,213,65.3,29.2,684,215
52:14.7,9.97,216,65.4,28.9,684,222
02:16.5,10.26,216,66,28.7,681,224
12:18.2,10.33,212,65.1,29,684,227
22:19.9,10.33,213,65.3,28.7,683,229
32:21.6,10.26,210,65.1,28.8,684,236
42:23.4,10.48,214,62.9,29,683,236
52:25.1,10.33,213,63,29.2,682,230
02:26.6,9.97,212,64.5,28.8,684,230
12:28.4,9.89,211,64.7,29,684,238
22:30.0,10.33,211,63.3,29,685,236
32:31.7,10.04,210,64.3,29,684,239
42:33.5,10.15,206,64.5,29,683,245
52:35.2,10.56,209,65.1,29,682,243
02:36.9,10.33,207,65,29,682,240
12:38.6,10.15,202,64.3,29.1,684,242
22:40.2,10.26,203,63,29,684,240
32:41.6,10.04,206,63.6,29,684,242
42:43.2,10.37,205,64.6,28.8,682,243
52:44.8,10.15,205,63.3,29,684,249
02:46.4,10.48,205,62.3,29,683,234
12:47.7,9.67,204,63.2,28.6,682,238
22:49.4,10.04,207,63.3,28.8,684,241
32:50.9,10.19,206,63.7,28.7,684,237
42:52.6,10,205,64.2,28.7,684,239
52:54.0,10.08,203,65.1,28.6,683,235
02:55.5,9.89,201,64.7,28.6,684,244
12:57.1,10.45,202,64.3,28.7,682,249
22:58.8,10.67,200,63.7,28.6,684,248
33:00.4,10.59,200,62.1,28.6,681,248
43:02.1,10.63,201,65.3,28.6,684,237
53:03.5,10,197,65.2,28.2,684,239
03:05.0,10.11,196,65.4,28.2,681,242
13:06.6,10.48,196,65.5,28.4,682,244
23:08.2,10.56,195,66.2,28.2,681,234
33:09.7,10,194,66.4,28.2,682,240
43:11.3,10.37,194,65.8,28.1,681,237
53:12.8,10.3,193,65.8,28,684,240
03:14.3,10.45,186,65.8,28.1,681,240
13:15.7,10.45,184,66.1,28,683,240
23:17.1,10.37,179,65.8,27.9,684,235
33:18.5,10.08,174,65.3,27.8,682,242
43:19.7,10.59,167,65.8,27.9,683,245
53:20.8,10.74,156,67.4,27.7,686,251
03:21.8,10.59,136,66.4,27.7,682,238
13:23.3,10.48,106,67.9,27.7,682,238
23:24.4,10.37,57,68.1,27.6,693,252
33:26.5,10.59,0,67.9,27.5,682,245
43:28.5,10.59,0,67.8,27.6,684,248
53:30.6,10.81,0,67.7,27.5,682,244
03:32.7,10.59,0,68.4,27.5,682,246
13:34.8,10.63,0,68.8,27.5,682,248
23:36.8,10.74,0,68.3,27.4,681,247
33:38.9,10.7,0,68.6,27.4,683,249
43:41.0,10.85,0,68.5,27.4,684,246
53:43.1,10.74,0,68.8,27.3,682,246
03:45.2,10.74,0,69,27.3,684,246
13:47.2,10.74,0,69.8,27.2,683,246
23:49.3,10.74,0,69.6,27.3,684,245
33:51.4,10.63,0,69.8,27.3,682,249
43:53.5,10.85,0,69.6,27.2,682,251
53:55.6,10.89,0,69,27.2,682,250
03:57.6,10.78,0,69.7,27.2,684,253
13:59.7,10.85,0,69.8,27.2,683,250
