DAY,TIME,PH,SUNLIGHT,HUMIDITY,TEMPERATURE,SOIL MOISTURE,WATER LEVEL,,,
day23,45:45.3,8.71,201,60.8,30.6,680,647,,,
day23,55:46.4,8.78,198,60.8,30.5,679,645,,,
day23,05:47.5,8.86,196,59.9,30.7,680,655,,,
day23,15:48.6,8.53,191,60.1,30.4,679,651,,,
day23,25:49.6,8.82,189,61.3,30.3,680,650,,,
day23,35:50.7,8.9,187,61.5,30,680,648,,,
day23,45:51.8,8.78,192,63.5,30,680,647,,,
day23,55:53.7,8.67,174,64.1,29.6,679,644,,,
day23,05:55.7,8.9,158,63.4,29.6,680,645,,,
day23,15:57.7,8.71,156,65.2,29.5,681,648,,,
day23,25:59.5,8.71,136,65.3,29.5,680,650,,,
day23,36:01.5,8.6,150,65.6,29.4,679,650,,,
day23,46:03.4,8.53,150,65,29.2,679,645,,,
day23,56:05.2,8.86,146,64.3,29.2,679,644,,,
day23,06:06.9,8.97,131,65.8,29.1,680,650,,,
day23,16:08.1,8.9,108,64.8,29.1,679,645,,,
day23,26:09.9,8.78,55,65.6,29.1,679,646,,,
day23,36:11.5,8.86,0,64.4,29,679,644,,,
day24,35:51.4,8.3,215,61.9,29.6,678,635,,,
day24,45:52.7,8.53,216,61,30.1,678,648,,,
day24,55:54.0,8.6,216,60.5,30.1,679,652,,,
day24,05:55.4,8.75,215,60.5,29.9,680,638,,,
day24,15:56.7,9.01,216,61,30.1,678,647,,,
day24,25:58.0,9.15,209,60.7,30.3,680,655,,,
day24,35:59.3,9.19,211,58.6,29.8,679,658,,,
day24,46:00.6,8.86,213,57.9,29.9,678,655,,,
day24,56:01.9,8.6,214,59.3,29.7,679,651,,,
day24,06:03.2,8.78,205,59.9,30.3,678,652,,,
day24,16:04.4,8.86,209,60.3,30.1,678,651,,,
day24,26:05.7,8.78,201,61.4,29.6,677,660,,,
day24,36:06.8,8.78,210,58.5,30.2,680,653,,,
day24,46:07.8,0,0,62.8,29.5,679,651,,,
day27,55:07.1,9.97,220,68.8,30.6,682,394,,,
day27,05:09.7,9.71,219,60.6,33,682,449,,,
day27,58:25.9,9.49,220,56.3,36,679,272,,,
day27,58:32.4,9.52,219,56.9,35.8,677,272,,,
day27,08:34.1,10.56,220,56.7,35.8,679,276,,,
day27,18:36.0,10.56,219,63.7,32.3,679,279,,,
day27,28:37.8,10.96,219,64.7,31.9,681,287,,,
day27,38:39.7,11.44,219,64.1,31.8,681,287,,,
day27,48:41.5,11.26,219,65.3,31.9,679,293,,,
day27,58:43.4,11.66,218,63.8,31.9,678,296,,,
day27,08:45.2,11.77,218,64.7,31.8,679,299,,,
day27,18:47.1,11.74,218,62.6,32,678,301,,,
day27,28:48.9,11.92,217,61.7,31.8,677,299,,,
day27,38:50.7,12.07,216,61.8,31.9,679,302,,,
day27,48:52.5,12.59,216,46.3,32,680,319,,,
day27,58:54.4,12.14,216,46.4,32,679,321,,,
day27,08:56.2,10.63,215,45.8,31.9,679,326,,,
day27,18:58.0,12.07,215,44.3,32.2,680,314,,,
day27,28:59.8,11.07,214,46.2,31.9,679,325,,,
day27,39:01.6,12.51,214,43.6,32.1,680,322,,,
day27,49:03.2,11.22,213,44.9,31.9,677,309,,,
day27,59:04.5,7.04,212,46.9,31.7,680,323,,,
day27,09:05.8,8.98,212,47.2,31.5,680,313,,,
day27,19:07.1,8.98,211,50.8,31.6,678,303,,,
day27,29:08.4,9.03,210,45.5,31.7,678,305,,,
day27,39:09.7,8.73,210,50.9,31.7,678,309,,,
day27,49:10.9,8.73,209,50.2,31.3,678,315,,,
day27,59:12.2,8.63,209,48.7,31.5,677,316,,,
day27,09:13.4,8.58,208,48.9,31.2,680,323,,,
day27,19:14.7,8.25,208,49.1,31.3,680,319,,,
day27,29:16.0,8.28,208,50.3,31.3,679,322,,,
day27,39:17.2,8.28,207,51.2,31.1,680,318,,,
day27,49:18.5,8.22,207,52.1,31,680,309,,,
day27,59:19.7,8.31,207,54,30.7,678,313,,,
day27,09:20.9,8.04,206,54,30.8,680,321,,,
day27,19:22.2,8.22,206,55.5,31,680,317,,,
day27,29:23.4,8.02,206,56.2,30.8,680,319,,,
day27,39:24.6,7.83,206,57.2,30.7,678,315,,,
day27,49:25.9,7.72,205,56.2,30.5,678,311,,,
day27,59:27.1,7.8,205,56.2,30.8,679,310,,,
day27,09:28.3,7.72,204,57.5,30.8,680,312,,,
day27,19:29.5,7.77,204,55.9,30.5,680,315,,,
day27,29:30.7,7.77,204,57.1,30.6,680,317,,,
day27,39:31.9,7.88,203,55.9,30.5,679,317,,,
day27,49:33.1,7.99,204,54.9,30.3,679,311,,,
day27,59:34.3,7.96,202,57.5,30.5,678,311,,,
day27,09:35.5,7.94,201,58.1,30.2,680,317,,,
day27,19:36.7,7.9,200,58.1,30.2,680,325,,,
day27,29:37.9,7.94,199,57.2,30.2,680,318,,,
day27,39:39.0,7.74,198,56.8,30,680,316,,,
day27,49:40.1,7.82,197,58.2,30,678,325,,,
day27,59:41.3,7.9,196,59.5,29.9,679,326,,,
day27,09:42.4,8.02,194,59.8,29.9,677,323,,,
day27,19:43.4,8.01,192,61,29.6,685,328,,,
day27,29:44.5,7.9,188,61.1,29.4,679,320,,,
day27,39:45.6,7.96,183,63,29.3,681,320,,,
day27,49:47.6,7.99,175,62.3,29.4,678,321,,,
day27,59:49.5,8.06,164,62.1,29.4,680,321,,,
day27,09:51.3,7.94,145,63.6,29.1,677,307,,,
day27,19:52.6,8.01,115,63.8,29.1,680,318,,,
day26,49:51.2,7.71,213,64.1,32.7,682,406,,,
day26,59:52.5,8.16,216,60.3,34.4,682,439,,,
day26,09:53.8,8.38,211,58.5,34.9,681,470,,,
day26,19:55.2,8.56,216,61.9,33.4,682,484,,,
day26,29:56.5,8.86,216,61,33.1,681,497,,,
day26,39:58.0,9.08,219,57.7,35,682,506,,,
day26,49:59.3,9.23,220,55.1,36.3,683,521,,,
day26,00:00.7,9.38,219,54.8,35.9,683,530,,,
day26,10:02.1,9.56,219,52.8,36.3,683,540,,,
day26,20:03.4,9.71,219,60.2,32,683,545,,,
day26,30:05.1,9.89,218,61.1,31.7,679,541,,,
day26,40:07.0,7.04,218,59.8,31.1,682,551,,,
day26,50:08.8,7.15,218,59.4,31.5,682,547,,,
day26,00:10.6,7.33,217,59.2,31.4,682,546,,,3
day26,10:12.5,7.56,217,59.3,31.4,681,555,,,
day26,20:14.3,7.59,217,58.5,31.6,679,553,,,
day26,30:16.1,7.74,216,58.1,31.5,681,556,,,
day26,40:17.9,7.74,216,59,31.3,679,558,,,
day26,50:19.8,7.93,216,58.4,31.5,681,563,,,
day26,00:21.6,7.89,216,58.6,31.6,678,563,,,
day26,10:23.4,7.96,215,57.2,31.5,680,565,,,
day26,20:25.2,7.85,215,58.2,31.5,682,569,,,
day26,30:27.0,7.89,214,58.6,31.6,680,563,,,
day26,40:28.8,8.07,213,57.9,31.7,681,567,,,
day26,50:30.6,7.96,213,58,31.7,681,568,,,
day26,00:32.3,8.22,212,57.5,31.5,682,567,,,
day26,10:34.1,8.18,211,56.1,31.2,679,567,,,
day26,20:35.9,8.26,210,59.9,31.3,680,571,,,
day26,30:37.6,8.26,210,58.2,31.4,681,568,,,
day26,40:39.4,8.48,209,57.7,31.1,679,571,,,
day26,50:41.1,8.66,208,59,31.1,681,571,,,
day26,00:42.8,8.74,207,60.3,30.8,679,575,,,
day26,10:44.6,8.77,207,59.9,31.2,681,576,,,
day26,20:46.3,9.07,207,55.5,31,679,585,,,
day26,30:48.0,9.07,207,58.4,31.2,679,576,,,
day26,40:49.7,9.48,207,57.5,31.1,681,577,,,
day26,50:51.5,9.55,206,57.1,31,682,592,,,
day26,00:53.2,9.44,206,58,30.9,680,579,,,
day26,10:54.9,9.55,205,60.1,31,682,594,,,
day26,20:56.6,9.84,206,58.9,30.9,682,587,,,
day26,30:58.3,10.03,205,58.2,30.8,679,596,,,
day26,41:00.0,9.81,204,60.7,30.9,678,601,,,
day26,51:01.7,9.7,204,59.3,30.6,680,595,,,
day26,01:03.4,9.51,204,59.2,30.5,681,599,,,
day26,11:05.0,9.7,203,61.1,30.7,682,595,,,
day26,21:06.7,10.1,202,62.4,30.6,681,589,,,
day26,31:08.4,10.4,202,63.5,30.4,679,585,,,
day26,41:10.1,10.14,202,63.8,30.3,681,588,,,
day26,51:11.7,10.03,201,63.1,30.2,681,599,,,
day26,01:13.4,10.29,201,61,30.3,681,599,,,
day26,11:15.0,10.4,200,63.8,30.1,679,598,,,
day26,21:16.7,10.51,199,64,29.9,681,610,,,
day26,31:18.3,10.55,199,63.5,30,679,608,,,
day26,41:19.9,10.58,198,63.6,30,681,609,,,
day26,51:21.5,10.58,197,64.8,29.8,680,607,,,
day26,01:23.1,10.62,195,67.1,29.6,681,600,,,
day26,11:24.7,10.69,194,66.3,29.6,681,605,,,
day26,21:26.2,9.51,191,66.7,29.6,681,605,,,
day26,31:27.7,9.25,187,67.6,29.5,681,609,,,
day26,41:29.1,9.4,182,68.6,29.5,681,609,,,
day26,51:30.4,9.25,173,68.7,29.2,681,610,,,
day26,01:31.6,9.22,161,69.1,29.3,679,605,,,
day26,11:32.6,9.25,141,69.8,29.1,681,604,,,
day26,21:34.0,9.44,108,70.5,28.8,680,596,,,
day26,31:35.1,8.92,38,70.9,29,681,593,,,
day26,41:37.0,9.48,0,71,28.9,681,591,,,
day25,18:46.0,7.07,150,70.7,27.7,682,408,,,
day25,28:47.6,7.99,181,70.7,27.8,679,430,,,
day25,08:37.2,7.64,195,68.5,30,677,427,,,
day25,18:38.5,7.68,195,69.4,29.8,682,447,,,
day25,28:39.7,6.93,210,67.6,30.2,680,460,,,
day25,38:40.9,7.41,200,69,30.1,680,475,,,
day25,48:42.2,7.74,209,69.3,29.9,682,490,,,
day25,58:43.5,7.86,207,68.3,30,680,489,,,
day25,08:45.0,7.97,207,67.6,30.3,679,497,,,
day25,18:46.3,7.97,206,67.3,30.3,680,497,,,
day25,28:47.6,7.97,206,66.9,30.2,681,498,,,
day25,38:48.8,8,202,67.9,30.4,681,492,,,
day25,48:50.0,7.71,194,67,30.1,682,502,,,
day25,58:51.1,7.71,194,66.9,30.1,680,498,,,
day25,08:52.2,7.56,195,67.4,30,682,496,,,
day25,18:53.4,7.74,193,67.5,29.9,679,501,,,
day25,28:54.5,7.34,195,68.3,29.9,679,516,,,
day25,38:55.6,7.12,195,66.3,30,682,514,,,
day25,48:56.7,7.41,192,65.3,30.2,680,532,,,
day25,58:57.8,7.19,187,65.5,29.7,682,522,,,
day25,08:59.0,7.15,192,65.9,30,681,531,,,
day25,19:00.0,7.12,198,64.4,29.8,681,518,,,
day25,29:01.1,7.19,197,66.1,29.8,683,521,,,
day25,39:02.2,7.08,184,66,29.9,679,525,,,
day25,49:03.3,7.01,196,64.7,30,679,529,,,
day25,59:04.4,7.08,193,65.7,30,682,533,,,
day25,09:05.5,7.15,196,66.7,30.1,682,545,,,
day25,19:06.6,6.71,193,64.6,29.8,685,568,,,
day25,29:07.7,6.75,193,66.8,29.9,682,543,,,
day25,39:08.7,7.01,190,65.5,30,681,547,,,
day25,49:09.8,7.04,188,64.8,29.8,681,552,,,
day25,59:10.8,6.71,187,66.6,29.7,680,549,,,
day25,09:11.9,6.9,186,68.3,29.6,679,549,,,
day25,19:14.0,6.86,182,68.7,29.5,682,550,,,
day25,29:15.0,6.82,178,68.8,29.5,682,548,,,
day25,39:17.1,6.9,181,69.4,29.4,681,545,,,
day25,49:19.1,6.86,164,70.2,29.3,682,551,,,
day25,59:21.2,6.75,161,68.8,29.2,680,552,,,
day25,09:23.2,6.71,163,69,29.2,682,555,,,
day25,19:25.0,6.82,151,68.7,29.2,679,554,,,
day25,29:26.6,6.6,121,69.5,28.9,681,550,,,
day25,39:28.3,6.9,122,71.4,29.1,680,535,,,
day25,49:30.0,6.97,136,71.5,29,682,531,,,
day25,59:31.4,6.86,106,71.5,28.8,683,519,,,
day25,09:32.5,7.08,90,70.9,28.9,682,513,,,
day25,19:34.4,6.97,56,71.7,28.8,679,512,,,
day25,29:36.0,7.01,0,72.6,28.8,679,517,,,
day25,39:37.6,6.97,0,72.7,28.7,679,518,,,
